 Ebola, PERSON
 US, GSP
 Ebola, GPE
 West Africa, LOCATION
 Updated, GPE
 UN, ORGANIZATION
 West Africa, LOCATION
 US, GSP
 New Jersey, GPE
 New, GPE
 Jersey Governor Chris Christie, PERSON
 Kaci Hickox, PERSON
 Sierra Leone, GPE
 UN, ORGANIZATION
 Ban Ki-moon, PERSON
 Ebola, GPE
 US Army, ORGANIZATION
 Staff, PERSON
 Spanish, GPE
 Ebola, GPE
 Spain, GPE
 UN, ORGANIZATION
 Ebola, GPE
 Ebola, PERSON
 New York, GPE
 West Africa, LOCATION
 US, GSP
 Pentagon, ORGANIZATION
 US, GPE
 West Africa, LOCATION
 Italy, GPE
 Ebola, GPE
 New, GPE
 Jersey, PERSON
 Ebola, PERSON
 New York, GPE
 Ebola, ORGANIZATION
 US Centers, ORGANIZATION
 Disease Control, PERSON
 CDC, ORGANIZATION
 West Africa, LOCATION
 Tom Frieden, PERSON
 Frieden, PERSON
 Hickox, PERSON
 Newark, GPE
 Sierra, GPE
 Maine, GPE
 New Jersey, ORGANIZATION
 Hickox, PERSON
 Ebola, PERSON
 Christie, PERSON
 Hickox, PERSON
 US, ORGANIZATION
 Analysis, GPE
 Anthony Zurcher, PERSON
 BBC, ORGANIZATION
 New York, GPE
 New Jersey, GPE
 Washington Post, ORGANIZATION
 Daniel W Drezner, PERSON
 Cuomo, PERSON
 Christie, PERSON
 West Africa, LOCATION
 Christie, PERSON
 Ebola, ORGANIZATION
 World, ORGANIZATION
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, GPE
 Ebola, PERSON
 Frieden, PERSON
 CDC, ORGANIZATION
 Pentagon, FACILITY
 US, GPE
 West Africa, LOCATION
 Italy, GPE
 Pentagon, GPE
 Col Steven Warren, PERSON
 Ebola, GPE
 Ebola, PERSON
 Ben Carter, PERSON
 Anna Meisel, PERSON
 BBC News Passengers, ORGANIZATION
 Ebola, PERSON
 UK, ORGANIZATION
 US, GSP
 Canada, GPE
 France, GPE
 Czech Republic, ORGANIZATION
 West African, LOCATION
 Ebola, PERSON
 Liberia, GPE
 Guinea, PERSON
 Sierra Leone, PERSON
 Traveller, PERSON
 West Africa, LOCATION
 Kamran Khan, PERSON
 St Michael, PERSON
 Hospital, ORGANIZATION
 Toronto, GPE
 Ebola, GPE
 Khan, PERSON
 Ebola, PERSON
 Guinea, PERSON
 Liberia, GPE
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, PERSON
 Sierra Leone, PERSON
 Khan, PERSON
 West African, LOCATION
 Ebola, ORGANIZATION
 Passengers, ORGANIZATION
 Ebola, PERSON
 Anyone, GPE
 Ebola, PERSON
 UK, ORGANIZATION
 Travellers, ORGANIZATION
 Guinea, GPE
 Liberia, GPE
 Sierra Leone, PERSON
 Therefore, GPE
 Ebola, ORGANIZATION
 West African, LOCATION
 Craig Spencer, PERSON
 Ebola, PERSON
 New York, GPE
 JFK, ORGANIZATION
 Guinea, GPE
 Ebola, PERSON
 US, ORGANIZATION
 Thomas Eric Duncan, PERSON
 Liberia, GPE
 Dallas, GPE
 Khan, GPE
 Ebola, PERSON
 Guinea, GPE
 Liberia, GPE
 Sierra Leone, PERSON
 Ebola, ORGANIZATION
 Ebola, PERSON
 Ebola Guinea Liberia Sierra Leone Total, PERSON
 Ebola, GPE
 Sars, GPE
 Guangdong, GPE
 China, GPE
 Hong Kong, GPE
 Singapore, GPE
 Vietnam, GPE
 World, ORGANIZATION
 Sars, PERSON
 Canada, PERSON
 SARS, ORGANIZATION
 David Mabey, PERSON
 London School, ORGANIZATION
 Hygiene, GPE
 Tropical Medicine, ORGANIZATION
 British, GPE
 Medical Journal, ORGANIZATION
 Airport Screening, PERSON
 Ebola, PERSON
 Sars, PERSON
 Canadian, GPE
 Mabey, PERSON
 Nigeria, GPE
 Liberia, GPE
 Lagos, GPE
 Nigerian, GPE
 Ebola, PERSON
 Medical, GPE
 Lagos, GPE
 Ebola, GPE
 India, GPE
 Zubair Ahmed, PERSON
 Delhi India, PERSON
 Ebola, GPE
 Health, PERSON
 Harsh Vardhan, PERSON
 Ebola, ORGANIZATION
 World, ORGANIZATION
 Sierra Leone, GPE
 Liberia, GPE
 Guinea, GPE
 India, GPE
 Vardhan, PERSON
 BBC Hindi, ORGANIZATION
 Vardhan, PERSON
 India, GPE
 Liberia, GPE
 Sierra Leone, PERSON
 Indian, GPE
 Liberia, GPE
 Ebola, PERSON
 New Jersey, GPE
 Ebola, GPE
 Sierra Leone, GPE
 Kaci, PERSON
 Hickox, PERSON
 Maine, GPE
 US, GSP
 UN, ORGANIZATION
 West Africa, LOCATION
 Ban, PERSON
 Ebola, PERSON
 New York, GPE
 New Jersey, GPE
 Illinois, GPE
 Ebola, PERSON
 West Africa, LOCATION
 US, GSP
 New York, GPE
 Guinea, GPE
 Ebola, PERSON
 Amid, GPE
 New York, GPE
 Andrew Cuomo, PERSON
 Ebola, ORGANIZATION
 World, ORGANIZATION
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, GPE
 Ebola, PERSON
 Bellevue Hospital, ORGANIZATION
 New York City, GPE
 Test, GPE
 New Jersey, ORGANIZATION
 Hickox, PERSON
 Ebola, PERSON
 Chris Christie, PERSON
 US Centers, ORGANIZATION
 Disease Control, PERSON
 CDC, ORGANIZATION
 New Jersey, GPE
 Christie, PERSON
 New Jersey, GPE
 Maine, PERSON
 Paul LePage, PERSON
 Hickox, PERSON
 Medecins Sans Frontieres, ORGANIZATION
 MSF, ORGANIZATION
 Newark Airport, ORGANIZATION
 New York, GPE
 Bill, PERSON
 Blasio, PERSON
 New York, GPE
 Bellevue Hospital, ORGANIZATION
 American, GPE
 Craig Spencer, PERSON
 Ebola, PERSON
 Guinea, GPE
 UN, ORGANIZATION
 Ban, PERSON
 Ban, PERSON
 Pentagon, FACILITY
 US, GPE
 West Africa, LOCATION
 Italy, GPE
 Pentagon, GPE
 Col Steven Warren, PERSON
 Ebola, GPE
 Australia, GPE
 Australia, GPE
 Ebola, PERSON
 Scott Morrison, PERSON
 Australia, GPE
 West Africa, LOCATION
 Ebola, PERSON
 Morrison, PERSON
 Australia, GPE
 Morrison, PERSON
 Australia, GPE
 West Africa, LOCATION
 Queensland, GPE
 Australia, GPE
 AAP, ORGANIZATION
 Ebola, PERSON
 Ebola, ORGANIZATION
 World, ORGANIZATION
 West Africa, LOCATION
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, GPE
 UK, ORGANIZATION
 US, GSP
 Australia, GPE
 Ebola, GPE
 West Africa, LOCATION
 Australia, GPE
 Ebola, PERSON
 Australian, GPE
 Africa, GPE
 Australia, GPE
 Tony Abbott, PERSON
 Ebola, GPE
 Sierra Leone, PERSON
 IBM, ORGANIZATION
 Sierra Leone, GPE
 Ebola, PERSON
 SMS, ORGANIZATION
 Ebola, GPE
 Ebola, PERSON
 Stewart, PERSON
 IBM Research, ORGANIZATION
 Africa, GPE
 Khadija, PERSON
 Sesay, GPE
 Sierra Leone, GPE
 Ebola, PERSON
 Radio, GPE
 Airtel, PERSON
 SMS, ORGANIZATION
 Ebola, GPE
 Samantha Power, PERSON
 US, GSP
 UN, ORGANIZATION
 Ebola, ORGANIZATION
 Samantha, PERSON
 Power, ORGANIZATION
 Guinea, GPE
 Sierra Leone, PERSON
 Liberia, GPE
 NBC, ORGANIZATION
 Ebola, ORGANIZATION
 World, ORGANIZATION
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, GPE
 Power, PERSON
 NBC, ORGANIZATION
 Ebola, PERSON
 UN, ORGANIZATION
 US, ORGANIZATION
 UK, ORGANIZATION
 Power, PERSON
 Ebola, PERSON
 US, ORGANIZATION
 UN, ORGANIZATION
 Power, PERSON
 Ebola, GPE
 Cuba, GPE
 US, GSP
 Sierra Leone, PERSON
 Pentagon, ORGANIZATION
 Maj Gen, PERSON
 Volesky, PERSON
 US, ORGANIZATION
 Ebola, PERSON
 West Africa, LOCATION
 US, ORGANIZATION
 Liberia, GSP
 US, ORGANIZATION
 West Africa, LOCATION
 US, GSP
 Sierra, GPE
 Leone, PERSON
 Newark, GPE
 Kaci, PERSON
 Hickox, ORGANIZATION
 Borders, GPE
 New York, GPE
 New Jersey, GPE
 Illinois, GPE
 Ebola, PERSON
 West Africa, LOCATION
 White House, FACILITY
 West Africa, LOCATION
 Hickox, PERSON
 New York, GPE
 New Jersey, GPE
 Craig Spencer, PERSON
 Guinea, GPE
 US, GPE
 Barack Obama, PERSON
 Americans, GPE
 Ebola, PERSON
 WHO, ORGANIZATION
 Ebola, ORGANIZATION
 World, ORGANIZATION
 Sierra Leone, PERSON
 Liberia, GPE
 Guinea, GPE
 Mali, GPE
 WHO, ORGANIZATION
 Liberia, GPE
 Sierra, GPE
 Leone, PERSON
 Guinea, GPE
 Nigeria, GPE
 Mali, GPE
 United States, GPE
 WHO, ORGANIZATION
 Liberia, GPE
 WHO, ORGANIZATION
 Eight, GPE
 West Africa, LOCATION
 Senegal, ORGANIZATION
 Nigeria, GPE
 WHO, ORGANIZATION
 US, GSP
 New York, GPE
 New Jersey, GPE
 Illinois, GPE
 Ebola, PERSON
 West Africa, LOCATION
 Anyone, GPE
 West African, LOCATION
 Ebola, PERSON
 New York, GPE
 Craig Spencer, PERSON
 Guinea, GPE
 Newark Liberty International Airport, ORGANIZATION
 Ebola, PERSON
 New Jersey, ORGANIZATION
 US, GSP
 Dallas, PERSON
 Thomas Eric Duncan, PERSON
 Nina Pham, PERSON
 Barack Obama, PERSON
 White House, FACILITY
 Obama, PERSON
 Ebola, PERSON
 Africa, GPE
 Obama, PERSON
 Mali, GPE
 Guinea, GPE
 Bamako, GPE
 Kayes, GPE
 WHO, ORGANIZATION
 Guinea, GPE
 Mali, GPE
 Malian, GPE
 Ibrahim Boubacar Keita, PERSON
 French, GPE
 Mali, GPE
 Guinea, PERSON
 Mauritania, PERSON
 Mali, PERSON
